,Month 1,Month 2,Month 3,Month 4,Month 5
1DBA09851,2,3,0,7,5
1FNKOL234,5,2,3,6,3
1FNRBL14,12,1,8,8,13
1FDAJM29,6,10,4,7,1
1FNKOL89,4,8,5,11,12
1FWMLD03,7,9,2,2,2
1RDNKOL22,11,8,6,3,5
1FNNOR01,14,2,2,6,4
1FNANA21,10,4,1,6,9
1RDDMUM97,9,14,19,12,13
1FNANA50,3,2,2,4,7
1FNBOM61,3,2,0,0,0
1FNSIK18,22,13,10,8,14
1FNALD34,14,3,7,3,9
1FNABN11,13,6,7,4,3
1RDNKOL28,6,10,0,0,0
1FDTNK21,8,0,0,0,0
1FNBHI07,5,2,2,1,2
1FNKOL119,7,1,2,3,2
1FDJAI67,8,0,5,21,8
1RDWKRI01,8,1,14,15,19
1FNKOL224,4,2,1,0,7
1RDWBKU01,4,5,2,8,5
1FNKOL111,16,8,13,3,5
1FWBSK04,14,15,20,8,8
1FNKOL114,9,3,8,8,8
1FNBNW23,14,3,5,4,4
1FNRBL08,3,3,7,3,4
1FDAHM185,9,1,3,4,13
1FNBHT15,5,17,2,0,2
1CRHUPAL03,8,2,0,2,3
1RDNKOL24,5,6,11,7,7
1FNANA59,6,3,0,5,1
1FNANA63,9,1,1,3,1
1FNAJM65,3,0,2,3,10
1CRMHTH07,6,1,5,8,3
1CRMHMU72,8,3,9,2,3
1CRGJRJ502,24,18,24,5,28
1FNDDN01,3,0,2,0,0
1FDRGH19,8,7,11,4,0
1FNKOL152,7,9,13,3,3
1FNDUN07,6,16,4,0,7
1FNBDN13,6,6,5,5,14
1CRUPPG01,14,15,14,15,27
1RDNANA04,9,5,5,1,2
1FDBOM236,4,1,5,8,4
1FNKAN104,17,7,7,16,1
1FNKOL237,4,1,5,1,3
1FNKOL167,5,5,12,8,3
1FNAJM16,1,1,1,1,1
1FDBNK22,16,30,9,1,8
1FDBOM330,24,19,23,20,12
1CRUPST01,20,8,7,11,10
1FNGDH13,7,4,4,1,10
1FNKOL90,5,11,2,5,4
1FNKOL113,9,8,9,7,3
1FDBOM154,3,3,6,9,5
2CRMHMU80,1,1,4,2,16
1FDJAI72,2,0,0,0,0
1FDBIK35,1,14,11,5,12
1FNALD54,13,2,2,5,4
1FNJAI107,8,1,3,0,0
1CRGJAH06,21,21,11,11,12
1FNGDH07,9,0,1,3,2
1FNUDP55,25,11,0,8,11
1FNWKH01,10,7,10,3,8
1CRRJUD08,18,7,4,8,10
1CRUPKN07,9,6,11,9,13
1FNBDN15,7,1,0,0,0
1FNBHL05,20,5,2,5,7
1FNBDN23,10,5,3,8,2
1CRRJUD07,27,36,41,13,8
1CRGJJM01,25,23,14,22,15
1RDWMDP01,3,2,8,4,4
1CRRJSK03,31,20,42,26,64
1FNBRM02,7,0,0,0,0
1FNDEO03,12,17,25,4,3
1FDDUN23,8,0,6,17,10
1CRGJAH49,11,22,13,10,9
3CRRJJO08,11,13,10,11,25
1FDMRD19,12,4,1,6,9
1FNARR01,14,4,13,4,2
1FDBOM388,9,20,11,5,14
1FNJNP11,3,8,8,3,11
1FNBBN07,9,6,16,11,4
1FDBOM288,13,0,0,0,0
1RDNNAD03,10,13,5,7,0
1RDWUDP16,13,1,2,2,11
1FNSUL05,12,12,4,12,16
1FDJMG31,5,2,16,9,3
1FDBOM211,11,9,10,11,8
1FDBOM182,2,5,17,6,0
1FNSMD02,3,3,5,1,1
1FNALD62,3,3,0,12,21
1FNKAN102,18,5,5,5,0
1FNJAI96,29,8,2,4,4
1FDJAI70,2,6,10,2,1
1FNCHU14,11,2,4,1,2
1FNSUL12,9,4,3,2,2
1FNUDP41,2,0,3,5,0
1FNBAL04,3,15,8,5,8
1FNKSH05,3,2,1,1,3
1FNSUL08,14,2,10,13,7
1FDAZM09,16,15,8,11,9
1FDJPG002,8,7,7,4,0
1CRUPVA10,10,18,16,6,10
1CRRJSR01,5,1,7,6,3
1CRMHMU14,5,4,4,7,9
1CRGJJM03,6,5,16,8,9
1FDKOL189,4,6,6,7,6
1CRGJAH30,18,9,12,8,1
1FNMHG03,8,3,10,6,6
1FDKAN165,21,18,0,6,19
1FDBST05,22,15,22,10,14
1FNKMR10,14,19,18,10,9
1FNANA36,4,8,4,9,0
1FDBRF02,8,5,8,4,4
1FNVAR69,12,2,3,7,0
1FNJAI118,11,1,1,3,1
1FNFTP08,8,12,10,11,19
1RDWLUC42,8,8,3,2,1
1FNVAR55,7,4,3,2,0
1FDBOM327,10,20,17,17,10
1FNALD123,13,13,21,29,28
1RDDVAR06,18,12,21,9,15
